epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,514.151,0.98939,0.51111,0.92319,0.75983,0.53512,0.56831,0.2535,1.85825,1.84362,1.3384,0.000515,0.000515,0.000515
77,520.865,1.00293,0.49459,0.94066,0.7422,0.51996,0.57063,0.2561,1.8796,1.77271,1.34297,0.0004952,0.0004952,0.0004952
78,527.592,0.96465,0.48463,0.9224,0.73305,0.54181,0.56795,0.25813,1.8639,1.7302,1.32289,0.0004754,0.0004754,0.0004754
79,534.488,0.95417,0.47967,0.93394,0.73552,0.53945,0.57863,0.26015,1.88259,1.7096,1.32906,0.0004556,0.0004556,0.0004556
80,541.393,0.98395,0.49735,0.93284,0.6969,0.5786,0.58592,0.26813,1.87616,1.68268,1.32269,0.0004358,0.0004358,0.0004358
81,548.435,0.94987,0.47604,0.93131,0.72264,0.55184,0.58581,0.26774,1.86355,1.63222,1.32456,0.000416,0.000416,0.000416
82,555.059,0.93541,0.4793,0.9304,0.74772,0.53512,0.57898,0.27065,1.83202,1.74649,1.32203,0.0003962,0.0003962,0.0003962
83,561.897,0.9558,0.4756,0.91704,0.73578,0.53846,0.57415,0.26413,1.83916,1.77821,1.33999,0.0003764,0.0003764,0.0003764
84,568.565,0.93371,0.45683,0.92552,0.72724,0.55518,0.57858,0.26284,1.86555,1.70322,1.34395,0.0003566,0.0003566,0.0003566
85,575.467,0.90477,0.45875,0.90483,0.72234,0.53512,0.56884,0.26307,1.87097,1.70511,1.34302,0.0003368,0.0003368,0.0003368
86,582.316,0.87433,0.43814,0.90484,0.74919,0.54181,0.56813,0.26273,1.87882,1.74794,1.34509,0.000317,0.000317,0.000317
87,589.083,0.89939,0.45264,0.90594,0.75847,0.53562,0.57071,0.26494,1.88866,1.80979,1.34519,0.0002972,0.0002972,0.0002972
88,595.717,0.86865,0.43978,0.90873,0.75697,0.52086,0.56875,0.26699,1.9031,1.85553,1.34948,0.0002774,0.0002774,0.0002774
89,602.491,0.86704,0.4392,0.90052,0.76661,0.51633,0.57818,0.27279,1.91489,1.87101,1.35896,0.0002576,0.0002576,0.0002576
90,609.586,0.85062,0.42861,0.90625,0.77519,0.50836,0.57247,0.26815,1.92621,1.86923,1.36353,0.0002378,0.0002378,0.0002378
91,619.744,0.86581,0.43389,0.91561,0.76553,0.50836,0.58362,0.26823,1.90662,1.83259,1.3559,0.000218,0.000218,0.000218
92,626.353,0.86175,0.42664,0.90679,0.7166,0.53278,0.57393,0.25994,1.91781,1.78791,1.36568,0.0001982,0.0001982,0.0001982
93,632.812,0.81593,0.40598,0.91198,0.71475,0.54849,0.57653,0.26025,1.88726,1.84855,1.36235,0.0001784,0.0001784,0.0001784
94,639.341,0.83461,0.40462,0.9171,0.77838,0.52843,0.57398,0.26706,1.8589,1.83287,1.35689,0.0001586,0.0001586,0.0001586
95,645.949,0.80199,0.40508,0.89083,0.75398,0.53177,0.57248,0.26189,1.8739,1.81078,1.36399,0.0001388,0.0001388,0.0001388
96,652.68,0.81264,0.39833,0.90596,0.7402,0.55184,0.56629,0.26444,1.89031,1.7917,1.36049,0.000119,0.000119,0.000119
97,659.084,0.77433,0.39445,0.89419,0.75535,0.52663,0.56785,0.26703,1.88674,1.814,1.35704,9.92e-05,9.92e-05,9.92e-05
98,665.526,0.76537,0.3881,0.88843,0.75302,0.52508,0.56972,0.26664,1.88959,1.82717,1.35458,7.94e-05,7.94e-05,7.94e-05
99,672.307,0.74681,0.39441,0.88123,0.75922,0.5273,0.56913,0.26464,1.89261,1.84448,1.3553,5.96e-05,5.96e-05,5.96e-05
100,678.821,0.7624,0.39462,0.89257,0.75841,0.53546,0.56642,0.26408,1.89088,1.8669,1.35631,3.98e-05,3.98e-05,3.98e-05
